"uuid","grsf_name","grsf_semantic_id","short_name","type","status","parent_areas","sdg_flag","jurisdictional_distribution","firms_code","ram_code","fishsource_code","FAO_SDG14_4_1_questionnaire_code"
"032a899b-1795-35a1-8318-5a014f914b8d","Sparus aurata - Pagrus auriga - Morocco coastal","asfis:REA;asfis:SBG+fao:34.1.1","Seabreams - Morocco","assessment unit","approved","fao:34;fao:27;fao:37","false","National","13830",,,
"5e8d48e0-8a68-3f8d-8a1a-49c6de639288","Parapenaeus longirostris - Atlantic, East central / 34.3.12","asfis:DPS+fao:34.3.12","Deep-water rose shrimp - Senegal and Gambia","assessment unit","approved","fao:34","false","Shared between nations","13835",,,
"779543b9-b598-39d6-9d04-a03b3f0648c2","Parapenaeus longirostris - Atlantic, East central / 34.1.32 - Atlantic, East central / 34.3.12 - Atlantic, East central / 34.3.11","asfis:DPS+fao:34.1.32;fao:34.3.11;fao:34.3.12","Deep-water rose shrimp - Mauritania, Senegal and Gambia","assessment unit","approved","fao:34","false","Shared between nations","13844",,,
"5f198b44-cf64-3733-ad3f-e4e0bd04290a","Centroscymnus coelolepis - Dalatias licha - SIOFA","asfis:CYO;asfis:SCK+rfb:SIOFA","Deep water sharks - Southern Indian Ocean","assessment unit","approved","fao:58;fao:57;fao:51;fao:47","false","High Seas Purely","13929",,,
"5fa83155-36cd-3c14-b3cd-09adb23ae790","Polyprion spp - SIOFA","asfis:HAU+rfb:SIOFA","Hapuka - Southern Indian Ocean","assessment unit","approved","fao:58;fao:57;fao:51;fao:47","false","High Seas Purely","13933",,,
"c058483d-0185-32db-a025-90adf1c9cdcd","Clupea harengus - Eastern English Channel (Division 27.7.d) - Skagerrak and Kattegat (Division 27.3.a) - North Sea (Subarea 27.4)","asfis:HER+fao:27.3.a;fao:27.4;fao:27.7.d","Herring - North Sea, Eastern Channel and Skagerrak","assessment unit","approved","fao:27","false",,"10385",,,
"c43e8b77-f98c-3d99-84ad-7408cc2f8421","Mullus surmuletus - Sardinia - Corsica Island","asfis:MUR+gfcm:11;gfcm:8","Striped red mullet - Corsica and Sardinia","assessment unit","approved","fao:37","false",,"10560",,,
"d9e59e52-4440-39a1-88c1-71d8f1f246d7","Dipturus batis - Dipturus intermedius - Portuguese Waters - East (Division 27.9.a) - Bay of Biscay (Subarea 27.8)","asfis:DRJ;asfis:RJB+fao:27.8;fao:27.9.a","Common skate - Bay of Biscay and Portuguese Waters East","assessment unit","approved","fao:34;fao:27;fao:37","false",,"13728",,,
"9368b16d-6398-3106-b49f-5013cf16f2d1","Rajidae - Western English Channel (Division 27.7.e) - Porcupine Bank (Division 27.7.c) - West of Ireland (Division 27.7.b) - Celtic Sea South (Division 27.7.h) - Celtic Sea North (Division 27.7.g) - Bristol Channel (Division 27.7.f) - Southwest of Ireland - West (Division 27.7.k) - Southwest of Ireland - East (Division 27.7.j) - Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6) - Irish Sea (Division 27.7.a)","asfis:RAJ+fao:27.6;fao:27.7.a;fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k","Other skates and rays - Rockall, Northwest Coast of Scotland and North Ireland, Irish Sea, West of Ireland, Porcupine Bank, Western English Channel, Bristol Channel, Celtic Sea and Southwest of Ireland","assessment unit","approved","fao:27","false",,"13862",,,
"ed7c65fe-8326-330c-988d-f6a441769619","Mustelus asterias - Mustelus spp - Azores Grounds and Northeast Atlantic South (Subarea  27.10) - Barents Sea (Subarea 27.1) - North of Azores (Subarea 27.12) - East Greenland (Subarea 27.14) - Portuguese Waters (Subarea 27.9) - Bay of Biscay (Subarea 27.8) - Irish Sea, West of Ireland, Porcupine Bank, Eastern and Western English Channel, etc (Subarea 27.7) - Rockall, Northwest Coast of Scotland and North Ireland (Subarea 27.6) - Iceland and Faroes Grounds (Subarea 27.5) - North Sea (Subarea 27.4) - Skagerrak, Kattegat, Sound, Belt Sea, and Baltic Sea (Subarea 27.3) - Norwegian Sea, Spitzbergen, and Bear Island (Subarea 27.2)","asfis:SDS;asfis:SDV+fao:27.1;fao:27.10;fao:27.12;fao:27.14;fao:27.2;fao:27.3;fao:27.4;fao:27.5;fao:27.6;fao:27.7;fao:27.8;fao:27.9","Starry smooth-hound - Northeast Atlantic","assessment unit","approved","fao:31;fao:21;fao:34;fao:27;fao:37;fao:18","false",,"13877",,,
